Published,Stage,Version,DOI.unique,version_stage
2008-04-23,Protocol,https://doi.org/10.1002/14651858.CD007079,10.1002/14651858.CD007079,Protocol
2024-11-18,Review,https://doi.org/10.1002/14651858.CD003218.pub3,10.1002/14651858.CD003218,V3
2006-07-19,Review,https://doi.org/10.1002/14651858.CD003218.pub2,10.1002/14651858.CD003218,V2
2002-10-21,Review,https://doi.org/10.1002/14651858.CD003218,10.1002/14651858.CD003218,V1
2024-11-14,Review,https://doi.org/10.1002/14651858.CD010441.pub3,10.1002/14651858.CD010441,V2
2014-02-05,Review,https://doi.org/10.1002/14651858.CD010441.pub2,10.1002/14651858.CD010441,V1
2013-03-28,Protocol,https://doi.org/10.1002/14651858.CD010441,10.1002/14651858.CD010441,Protocol
2024-11-13,Review,https://doi.org/10.1002/14651858.CD016278,10.1002/14651858.CD016278,V1
2024-11-08,Review,https://doi.org/10.1002/14651858.CD002290.pub6,10.1002/14651858.CD002290,V6
2020-04-16,Review,https://doi.org/10.1002/14651858.CD002290.pub5,10.1002/14651858.CD002290,V5
2013-10-29,Review,https://doi.org/10.1002/14651858.CD002290.pub4,10.1002/14651858.CD002290,V4
2008-01-23,Review,https://doi.org/10.1002/14651858.CD002290.pub3,10.1002/14651858.CD002290,V3
2005-04-20,Review,https://doi.org/10.1002/14651858.CD002290.pub2,10.1002/14651858.CD002290,V2
2001-10-23,Review,https://doi.org/10.1002/14651858.CD002290,10.1002/14651858.CD002290,V1
2024-11-07,Review,https://doi.org/10.1002/14651858.CD012718.pub2,10.1002/14651858.CD012718,V1
2017-07-12,Protocol,https://doi.org/10.1002/14651858.CD012718,10.1002/14651858.CD012718,Protocol
2024-11-07,Review,https://doi.org/10.1002/14651858.CD010189.pub3,10.1002/14651858.CD010189,V2
2014-04-20,Review,https://doi.org/10.1002/14651858.CD010189.pub2,10.1002/14651858.CD010189,V1
2012-11-14,Protocol,https://doi.org/10.1002/14651858.CD010189,10.1002/14651858.CD010189,Protocol
2024-11-05,Review,https://doi.org/10.1002/14651858.CD009022.pub3,10.1002/14651858.CD009022,V2
2011-07-06,Review,https://doi.org/10.1002/14651858.CD009022.pub2,10.1002/14651858.CD009022,V1
2011-03-16,Protocol,https://doi.org/10.1002/14651858.CD009022,10.1002/14651858.CD009022,Protocol
2024-11-05,Review,https://doi.org/10.1002/14651858.CD001747.pub4,10.1002/14651858.CD001747,V4
2006-01-25,Review,https://doi.org/10.1002/14651858.CD001747.pub3,10.1002/14651858.CD001747,V3
2004-10-18,Review,https://doi.org/10.1002/14651858.CD001747.pub2,10.1002/14651858.CD001747,V2
2002-07-22,Review,https://doi.org/10.1002/14651858.CD001747,10.1002/14651858.CD001747,V1
2024-11-05,Review,https://doi.org/10.1002/14651858.CD011204.pub3,10.1002/14651858.CD011204,V2
2019-01-16,Review,https://doi.org/10.1002/14651858.CD011204.pub2,10.1002/14651858.CD011204,V1
2014-07-15,Protocol,https://doi.org/10.1002/14651858.CD011204,10.1002/14651858.CD011204,Protocol
2024-11-05,Review,https://doi.org/10.1002/14651858.CD014769.pub2,10.1002/14651858.CD014769,V1
2021-06-28,Protocol,https://doi.org/10.1002/14651858.CD014769,10.1002/14651858.CD014769,Protocol
2024-10-31,Review,https://doi.org/10.1002/14651858.CD013821.pub2,10.1002/14651858.CD013821,V1
2021-01-19,Protocol,https://doi.org/10.1002/14651858.CD013821,10.1002/14651858.CD013821,Protocol
2024-10-30,Review,https://doi.org/10.1002/14651858.CD004904.pub4,10.1002/14651858.CD004904,V3
2014-10-20,Review,https://doi.org/10.1002/14651858.CD004904.pub3,10.1002/14651858.CD004904,V2
2006-04-19,Review,https://doi.org/10.1002/14651858.CD004904.pub2,10.1002/14651858.CD004904,V1
2004-07-19,Protocol,https://doi.org/10.1002/14651858.CD004904,10.1002/14651858.CD004904,Protocol
2024-10-29,Review,https://doi.org/10.1002/14651858.CD002115.pub6,10.1002/14651858.CD002115,V5
2014-01-13,Review,https://doi.org/10.1002/14651858.CD002115.pub5,10.1002/14651858.CD002115,V4
2013-12-18,Review,https://doi.org/10.1002/14651858.CD002115.pub4,10.1002/14651858.CD002115,V3
2006-04-19,Review,https://doi.org/10.1002/14651858.CD002115.pub3,10.1002/14651858.CD002115,V2
2005-04-20,Protocol,https://doi.org/10.1002/14651858.CD002115,10.1002/14651858.CD002115,Protocol
2024-10-29,Review,https://doi.org/10.1002/14651858.CD012594.pub2,10.1002/14651858.CD012594,V1
2017-03-11,Protocol,https://doi.org/10.1002/14651858.CD012594,10.1002/14651858.CD012594,Protocol
2024-10-29,Review,https://doi.org/10.1002/14651858.CD003833.pub5,10.1002/14651858.CD003833,V4
2013-07-04,Review,https://doi.org/10.1002/14651858.CD003833.pub4,10.1002/14651858.CD003833,V3
2007-10-17,Review,https://doi.org/10.1002/14651858.CD003833.pub3,10.1002/14651858.CD003833,V2
2004-01-26,Review,https://doi.org/10.1002/14651858.CD003833.pub2,10.1002/14651858.CD003833,V1
2002-10-21,Protocol,https://doi.org/10.1002/14651858.CD003833,10.1002/14651858.CD003833,Protocol
2024-10-28,Review,https://doi.org/10.1002/14651858.CD016147,10.1002/14651858.CD016147,V1
2024-10-28,Review,https://doi.org/10.1002/14651858.CD016148,10.1002/14651858.CD016148,V1
2024-10-16,Review,https://doi.org/10.1002/14651858.CD015033.pub2,10.1002/14651858.CD015033,V1
2022-05-31,Protocol,https://doi.org/10.1002/14651858.CD015033,10.1002/14651858.CD015033,Protocol
2024-10-15,Review,https://doi.org/10.1002/14651858.CD008564.pub3,10.1002/14651858.CD008564,V1
2019-07-21,Protocol,https://doi.org/10.1002/14651858.CD008564.pub2,10.1002/14651858.CD008564,Protocol
2010-06-16,Protocol,https://doi.org/10.1002/14651858.CD008564,10.1002/14651858.CD008564,Protocol
2024-10-11,Review,https://doi.org/10.1002/14651858.CD000143.pub2,10.1002/14651858.CD000143,V2
2003-04-22,Review,https://doi.org/10.1002/14651858.CD000143,10.1002/14651858.CD000143,V1
2024-10-09,Review,https://doi.org/10.1002/14651858.CD013344.pub2,10.1002/14651858.CD013344,V1
2019-05-28,Protocol,https://doi.org/10.1002/14651858.CD013344,10.1002/14651858.CD013344,Protocol
2024-10-09,Review,https://doi.org/10.1002/14651858.CD014688.pub2,10.1002/14651858.CD014688,V1
2021-07-26,Protocol,https://doi.org/10.1002/14651858.CD014688,10.1002/14651858.CD014688,Protocol
2024-10-04,Review,https://doi.org/10.1002/14651858.CD010856.pub3,10.1002/14651858.CD010856,V2
2015-06-18,Review,https://doi.org/10.1002/14651858.CD010856.pub2,10.1002/14651858.CD010856,V1
2013-12-09,Protocol,https://doi.org/10.1002/14651858.CD010856,10.1002/14651858.CD010856,Protocol
2024-10-04,Review,https://doi.org/10.1002/14651858.CD013541.pub2,10.1002/14651858.CD013541,V1
2020-02-20,Protocol,https://doi.org/10.1002/14651858.CD013541,10.1002/14651858.CD013541,Protocol
2024-10-03,Review,https://doi.org/10.1002/14651858.CD013480.pub2,10.1002/14651858.CD013480,V1
2019-11-14,Protocol,https://doi.org/10.1002/14651858.CD013480,10.1002/14651858.CD013480,Protocol
2024-10-02,Review,https://doi.org/10.1002/14651858.CD010294.pub3,10.1002/14651858.CD010294,V2
2015-07-14,Review,https://doi.org/10.1002/14651858.CD010294.pub2,10.1002/14651858.CD010294,V1
2013-01-31,Protocol,https://doi.org/10.1002/14651858.CD010294,10.1002/14651858.CD010294,Protocol
2024-10-02,Review,https://doi.org/10.1002/14651858.CD012067.pub3,10.1002/14651858.CD012067,V2
2016-09-30,Review,https://doi.org/10.1002/14651858.CD012067.pub2,10.1002/14651858.CD012067,V1
2016-01-29,Protocol,https://doi.org/10.1002/14651858.CD012067,10.1002/14651858.CD012067,Protocol
2024-10-01,Review,https://doi.org/10.1002/14651858.CD011800.pub2,10.1002/14651858.CD011800,V1
2015-07-25,Protocol,https://doi.org/10.1002/14651858.CD011800,10.1002/14651858.CD011800,Protocol
2024-09-27,Review,https://doi.org/10.1002/14651858.CD013284.pub2,10.1002/14651858.CD013284,V1
2019-03-25,Protocol,https://doi.org/10.1002/14651858.CD013284,10.1002/14651858.CD013284,Protocol
2024-09-26,Review,https://doi.org/10.1002/14651858.CD006689.pub3,10.1002/14651858.CD006689,V2
2011-10-05,Review,https://doi.org/10.1002/14651858.CD006689.pub2,10.1002/14651858.CD006689,V1
2007-07-18,Protocol,https://doi.org/10.1002/14651858.CD006689,10.1002/14651858.CD006689,Protocol
2024-09-25,Review,https://doi.org/10.1002/14651858.CD013853.pub2,10.1002/14651858.CD013853,V1
2021-01-21,Protocol,https://doi.org/10.1002/14651858.CD013853,10.1002/14651858.CD013853,Protocol
2024-09-23,Review,https://doi.org/10.1002/14651858.CD005595.pub4,10.1002/14651858.CD005595,V3
2012-11-14,Review,https://doi.org/10.1002/14651858.CD005595.pub3,10.1002/14651858.CD005595,V2
2008-07-16,Review,https://doi.org/10.1002/14651858.CD005595.pub2,10.1002/14651858.CD005595,V1
2006-01-25,Protocol,https://doi.org/10.1002/14651858.CD005595,10.1002/14651858.CD005595,Protocol
2024-09-23,Review,https://doi.org/10.1002/14651858.CD014755.pub2,10.1002/14651858.CD014755,V1
2022-10-13,Protocol,https://doi.org/10.1002/14651858.CD014755,10.1002/14651858.CD014755,Protocol
2024-09-23,Review,https://doi.org/10.1002/14651858.CD008552.pub8,10.1002/14651858.CD008552,V7
2020-05-25,Review,https://doi.org/10.1002/14651858.CD008552.pub7,10.1002/14651858.CD008552,V6
2019-11-07,Review,https://doi.org/10.1002/14651858.CD008552.pub6,10.1002/14651858.CD008552,V5
2018-05-17,Review,https://doi.org/10.1002/14651858.CD008552.pub5,10.1002/14651858.CD008552,V4
2018-01-24,Review,https://doi.org/10.1002/14651858.CD008552.pub4,10.1002/14651858.CD008552,V3
2017-09-25,Review,https://doi.org/10.1002/14651858.CD008552.pub3,10.1002/14651858.CD008552,V2
2012-11-14,Review,https://doi.org/10.1002/14651858.CD008552.pub2,10.1002/14651858.CD008552,V1
2010-06-16,Protocol,https://doi.org/10.1002/14651858.CD008552,10.1002/14651858.CD008552,Protocol
2024-09-23,Review,https://doi.org/10.1002/14651858.CD010779.pub2,10.1002/14651858.CD010779,V1
2013-10-10,Protocol,https://doi.org/10.1002/14651858.CD010779,10.1002/14651858.CD010779,Protocol
2024-09-20,Review,https://doi.org/10.1002/14651858.CD014820.pub2,10.1002/14651858.CD014820,V1
2022-05-04,Protocol,https://doi.org/10.1002/14651858.CD014820,10.1002/14651858.CD014820,Protocol
2024-09-19,Review,https://doi.org/10.1002/14651858.CD014741.pub2,10.1002/14651858.CD014741,V1
2021-09-08,Protocol,https://doi.org/10.1002/14651858.CD014741,10.1002/14651858.CD014741,Protocol
2024-09-17,Review,https://doi.org/10.1002/14651858.CD011197.pub3,10.1002/14651858.CD011197,V2
2017-02-09,Review,https://doi.org/10.1002/14651858.CD011197.pub2,10.1002/14651858.CD011197,V1
2014-07-07,Protocol,https://doi.org/10.1002/14651858.CD011197,10.1002/14651858.CD011197,Protocol
2024-09-16,Review,https://doi.org/10.1002/14651858.CD012850.pub2,10.1002/14651858.CD012850,V1
2017-11-01,Protocol,https://doi.org/10.1002/14651858.CD012850,10.1002/14651858.CD012850,Protocol
2024-09-12,Review,https://doi.org/10.1002/14651858.CD015383.pub2,10.1002/14651858.CD015383,V1
2022-11-21,Protocol,https://doi.org/10.1002/14651858.CD015383,10.1002/14651858.CD015383,Protocol
2024-09-11,Review,https://doi.org/10.1002/14651858.CD006515.pub2,10.1002/14651858.CD006515,V2
2007-04-18,Review,https://doi.org/10.1002/14651858.CD006515,10.1002/14651858.CD006515,V1
2024-09-10,Review,https://doi.org/10.1002/14651858.CD015443.pub2,10.1002/14651858.CD015443,V1
2022-11-03,Protocol,https://doi.org/10.1002/14651858.CD015443,10.1002/14651858.CD015443,Protocol
2024-09-06,Review,https://doi.org/10.1002/14651858.CD002971.pub6,10.1002/14651858.CD002971,V6
2019-07-19,Review,https://doi.org/10.1002/14651858.CD002971.pub5,10.1002/14651858.CD002971,V5
2018-06-20,Review,https://doi.org/10.1002/14651858.CD002971.pub4,10.1002/14651858.CD002971,V4
2014-04-22,Review,https://doi.org/10.1002/14651858.CD002971.pub3,10.1002/14651858.CD002971,V3
2007-10-17,Review,https://doi.org/10.1002/14651858.CD002971.pub2,10.1002/14651858.CD002971,V2
2001-10-23,Review,https://doi.org/10.1002/14651858.CD002971,10.1002/14651858.CD002971,V1
2024-09-05,Review,https://doi.org/10.1002/14651858.CD015751.pub2,10.1002/14651858.CD015751,V1
2023-05-24,Protocol,https://doi.org/10.1002/14651858.CD015751,10.1002/14651858.CD015751,Protocol
2024-08-30,Review,https://doi.org/10.1002/14651858.CD009788.pub3,10.1002/14651858.CD009788,V1
2019-12-16,Protocol,https://doi.org/10.1002/14651858.CD009788.pub2,10.1002/14651858.CD009788,Protocol
2012-04-18,Protocol,https://doi.org/10.1002/14651858.CD009788,10.1002/14651858.CD009788,Protocol
2024-08-29,Review,https://doi.org/10.1002/14651858.CD015101,10.1002/14651858.CD015101,V1
2024-08-28,Review,https://doi.org/10.1002/14651858.CD013857.pub2,10.1002/14651858.CD013857,V1
2021-01-29,Protocol,https://doi.org/10.1002/14651858.CD013857,10.1002/14651858.CD013857,Protocol
2024-08-22,Review,https://doi.org/10.1002/14651858.CD008320.pub4,10.1002/14651858.CD008320,V3
2016-11-16,Review,https://doi.org/10.1002/14651858.CD008320.pub3,10.1002/14651858.CD008320,V2
2013-06-09,Review,https://doi.org/10.1002/14651858.CD008320.pub2,10.1002/14651858.CD008320,V1
2010-01-20,Protocol,https://doi.org/10.1002/14651858.CD008320,10.1002/14651858.CD008320,Protocol
2024-08-22,Review,https://doi.org/10.1002/14651858.CD007374.pub3,10.1002/14651858.CD007374,V2
2011-06-15,Review,https://doi.org/10.1002/14651858.CD007374.pub2,10.1002/14651858.CD007374,V1
2008-10-08,Protocol,https://doi.org/10.1002/14651858.CD007374,10.1002/14651858.CD007374,Protocol
2024-08-22,Review,https://doi.org/10.1002/14651858.CD001533.pub7,10.1002/14651858.CD001533,V7
2020-08-31,Review,https://doi.org/10.1002/14651858.CD001533.pub6,10.1002/14651858.CD001533,V6
2015-03-18,Review,https://doi.org/10.1002/14651858.CD001533.pub5,10.1002/14651858.CD001533,V5
2007-10-17,Review,https://doi.org/10.1002/14651858.CD001533.pub4,10.1002/14651858.CD001533,V4
2005-01-24,Review,https://doi.org/10.1002/14651858.CD001533.pub3,10.1002/14651858.CD001533,V3
2003-04-22,Review,https://doi.org/10.1002/14651858.CD001533.pub2,10.1002/14651858.CD001533,V2
2002-09-23,Review,https://doi.org/10.1002/14651858.CD001533,10.1002/14651858.CD001533,V1
2024-08-22,Review,https://doi.org/10.1002/14651858.CD009679.pub3,10.1002/14651858.CD009679,V2
2015-09-15,Review,https://doi.org/10.1002/14651858.CD009679.pub2,10.1002/14651858.CD009679,V1
2012-03-14,Protocol,https://doi.org/10.1002/14651858.CD009679,10.1002/14651858.CD009679,Protocol
2024-08-15,Review,https://doi.org/10.1002/14651858.CD004736.pub6,10.1002/14651858.CD004736,V5
2015-07-22,Review,https://doi.org/10.1002/14651858.CD004736.pub5,10.1002/14651858.CD004736,V4
